ISBN,Book-Title,rating
0195153448,Classical Mythology,0.0
0002005018,Clara Callan,4.928571428571429
0060973129,Decision in Normandy,5.0
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,4.2727272727272725
0393045218,The Mummies of Urumchi,0.0
0399135782,The Kitchen God's Wife,4.212121212121212
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,1.6
0671870432,PLEADING GUILTY,2.6666666666666665
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,0.0
074322678X,Where You'll Find Me: And Other Stories,5.0
0771074670,Nights Below Station Street,1.0
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,0.0
0887841740,The Middle Stories,2.5
1552041778,Jane Doe,5.0
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),3.375
1567407781,The Witchfinder (Amos Walker Mystery Series),6.0
1575663937,More Cunning Than Man: A Social History of Rats and Man,2.0
1881320189,Goodbye to the Buttermilk Sky,4.666666666666667
0440234743,The Testament,3.085308056872038
0452264464,Beloved (Plume Contemporary Fiction),3.411111111111111
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,5.684210526315789
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,2.0
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,3.3333333333333335
0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),1.6666666666666667
0439095026,Tell Me This Isn't Happening,2.1666666666666665
0689821166,Flood : Mississippi 1927,6.0
0971880107,Wild Animus,1.0195843325339728
0345402871,Airframe,2.845410628019324
0345417623,Timeline,3.7616707616707616
0684823802,OUT OF THE SILENT PLANET,2.5
0375759778,Prague : A Novel,3.4074074074074074
0425163091,Chocolate Jesus,2.5555555555555554
3404921038,Wie Barney es sieht.,7.5
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,0.0
3442410665,Sturmzeit. Roman.,0.0
3442446937,Tage der Unschuld.,0.0
0375406328,Lying Awake,3.2941176470588234
0446310786,To Kill a Mockingbird,4.920308483290489
0449005615,Seabiscuit: An American Legend,4.138211382113822
0060168013,Pigs in Heaven,3.709090909090909
038078243X,Miss Zukas and the Raven's Dance,1.4444444444444444
055321215X,Pride and Prejudice,0.0
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,4.0
0061099686,Downtown,1.4473684210526316
0553582909,Icebound,3.2222222222222223
0671888587,I'll Be Seeing You,1.9428571428571428
0553582747,From the Corner of His Eye,3.4909090909090907
0425182908,Isle of Dogs,1.8669950738916257
042518630X,Purity in Death,2.3207547169811322
0440223571,This Year It Will Be Different: And Other Stories,2.4237288135593222
0812523873,Proxies,0.0
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),2.883720930232558
0440225701,The Street Lawyer,2.6754617414248023
0060914068,"Love, Medicine and Miracles",3.3
0156047624,All the King's Men,3.2222222222222223
0245542957,Pacific Northwest,6.0
0380715899,A Soldier of the Great War,2.761904761904762
0553280333,Getting Well Again,0.0
0961769947,Northwest Wines and Wineries,0.0
0964778319,An Atmosphere of Eternity: Stories of India,5.0
0671623249,LONESOME DOVE,3.830188679245283
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),2.6470588235294117
0679865691,Haveli (Laurel Leaf Books),3.5
2070423204,Lieux dits,3.5
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,1.1333333333333333
0394743741,The yawning heights,7.0
042511774X,Breathing Lessons,1.8705882352941177
0804106304,The Joy Luck Club,3.0635838150289016
1853262404,Heart of Darkness (Wordsworth Collection),1.0769230769230769
0312970242,The Angel Is Near,1.0
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),2.689655172413793
1414035004,The Adventures of Drew and Ellie: The Magical Dress,10.0
0060938412,The Accidental Virgin,3.5625
0140067477,The Tao of Pooh,4.296296296296297
0345465083,Seabiscuit,2.732620320855615
0451625889,The Prince,0.0
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),3.651685393258427
0441783589,Starship Troopers,3.151898734177215
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",2.4186046511627906
1569871213,Black Beauty (Illustrated Classics),5.25
0375410538,Anil's Ghost,2.7586206896551726
0966986105,Prescription for Terror,10.0
087113375X,Modern Manners: An Etiquette Book for Rude People,5.0
0340767936,Turning Thirty,3.4166666666666665
0743403843,Decipher,2.142857142857143
0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",2.25
0060177586,Standing Firm: A Vice-Presidential Memoir,0.0
0071416331,Team Bush : Leadership Lessons from the Bush White House,8.0
0375509038,The Right Man : The Surprise Presidency of George W. Bush,4.0
0553062042,Daybreakers Louis Lamour Collection,3.5
0316769487,The Catcher in the Rye,4.635235732009925
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),6.5625
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),6.0
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",6.5
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,3.159090909090909
0671867156,Pretend You Don't See Her,2.5838150289017343
0312252617,Fast Women,3.7777777777777777
0312261594,Female Intelligence,3.68
0316748641,Pasquale's Nose: Idle Days in an Italian Town,3.0
0316973742,The Gospel of Judas: A Novel,1.2
0385235941,"Prize Stories, 1987: The O'Henry Awards",6.0
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",5.359375
0451166892,The Pillars of the Earth,3.2017543859649122
0553347594,McDonald's: Behind the Arches,6.2
0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,5.5
067976397X,Corelli's Mandolin : A Novel,2.3135593220338984
0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",0.0
0786868716,The Five People You Meet in Heaven,4.543325526932084
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),3.5
0671864769,Relics (Star Trek: The Next Generation),2.1052631578947367
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,3.75
0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",2.4
0312953453,Blood Oath,2.5454545454545454
0446608653,The Alibi,1.975
0446612545,The Beach House,3.098859315589354
0446612618,A Kiss Remembered,2.9565217391304346
0451208080,The Short Forever,3.135135135135135
0553584383,Dead Aim,3.109090909090909
0671027360,Angels &amp; Demons,3.718430034129693
0812575954,The Deal,3.125
0316735736,All He Ever Wanted: A Novel,3.96875
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",2.893617021276596
0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",6.333333333333333
0380619458,The Mosquito Coast,2.1666666666666665
0446325805,"If Love Were Oil, I'd Be About a Quart Low",1.3333333333333333
0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",4.75
0671042858,The Girl Who Loved Tom Gordon,3.135514018691589
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,4.0
0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",5.0
0425184226,The Sum of All Fears,2.2644628099173554
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,2.923076923076923
9724119378,O Deus Das Pequenas Coisas,2.3
0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),2.1666666666666665
0060929790,One Hundred Years of Solitude,4.121951219512195
0060976845,Little Altars Everywhere: A Novel,3.2557603686635943
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),2.3380281690140845
0671004573,Before I Say Good-Bye,2.5
0446601640,Slow Waltz in Cedar Bend,1.6025641025641026
0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),0.0
