,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
80000,1578400341,A Journey to the Center of the Earth (Classics Illustrated),Howard Hendrix,1997,Acclaim Books,0.0
80001,0670167924,The Birds Fall Down,Rebecca West,1966,Penguin USA,0.0
80002,0385489854,The Lily Theater: A Novel of Modern China,Lulu Wang,2000,Nan A. Talese,2.6666666666666665
80003,0743418549,Gateways #1:  One Small Step (Star Trek),Susan Wright,2001,Star Trek,2.6
80004,0060934794,Papillon,Henri Charriere,2001,Perennial,4.384615384615385
80005,034542848X,"Star by Star (Star Wars: The New Jedi Order, Book 9)",TROY DENNING,2001,Del Rey,8.666666666666666
80006,0374237131,Presumed Innocent,Scott Turow,1987,Farrar Straus Giroux,0.8333333333333334
80007,0671021850,Invasion! Omnibus (Star Trek: All),Kristine Kathryn Rusch,1998,Star Trek,2.5
80008,0609803638,The How to Quit Smoking and Not Gain Weight Cookbook,Mary Donkersloot,1999,Three Rivers Press (CA),0.0
80009,0375405372,Memoirs of a Geisha,Arthur S. Golden,1998,Random House Audio,10.0
80010,0609811126,The Princeton Review Grammar Smart CD : An Audio Guide to Perfect Usage,JULIAN FLEISHER,2001,Living Language,9.0
80011,0061052078,Ancient Shores,Jack McDevitt,1996,Harpercollins,1.2
80012,0918825733,Apple of My Eye,Helene Hanff,1989,Moyer Bell Ltd.,1.6666666666666667
80013,0553290029,This Perfect Day,Ira Levin,1991,Bantam Books,0.0
80014,0399128964,Dune (Dune Chronicles (Econo-Clad Hardcover)),Frank Herbert,1984,Putnam Publishing Group,6.0
80015,014004552X,Foreign Affairs and Other Stories,Sean Ofaolain,0,Penguin Putnam~mass,0.0
80016,1404333045,Scenes from a Courtesan's Life,Honore De Balzac,2002,IndyPublish.com,4.0
80017,0380552280,Swimmer in the Secret Sea (Bard Book),William Kotzwinkle,1981,Avon Books,0.0
80018,0141186178,A Fairly Honourable Defeat (Penguin Twentieth Century Classics),Iris Murdoch,2001,Penguin Books,3.3333333333333335
80019,0140025596,Italian Girl,Iris Murdoch,1979,Penguin Books,3.8
80020,0140017704,The Flight from the Enchanter,Iris Murdoch,1987,Penguin Books,2.0
80021,8408012045,La Herida de La Esfinge,Terence Moix,1995,Planeta,7.0
80022,0425183114,"Blood Type A: Food, Beverage and Supplement Lists from Eat Right for Your Type",Peter J. D'Adamo,2002,Berkley Publishing Group,0.0
80023,8806142291,Maestro and Marcherita,Bulgakov,1998,Einaudi,0.0
80024,1566198216,Grays Anatomy,Henry Gray,0,Barnes Noble Books,9.5
80025,0345390466,The Genx Reader,Douglas Rushkoff,1994,Ballantine Books,0.0
80026,0553251104,Some Die Eloquent,Catherine Aird,1985,Bantam Books (Mm),3.5
80027,0553254146,Parting Breath,Catherine Aird,1985,Bantam Books,0.0
80028,0385060165,His burial too,Catherine Aird,1973,Published for the Crime Club by Doubleday,7.0
80029,055324079X,Passing Strange,Catherine Aird,1983,Bantam Books,0.0
80030,0380722046,A Man Called Peter: The Story of Peter Marshall,Catherine Marshall,1994,Harpercollins,0.0
80031,0553256319,Slight Mourning,Catherine Aird,1986,Bantam Books,3.5
80032,0553258117,Last Respects,Catherine Aird,1986,Bantam Books,4.0
80033,074342803X,Eager to Please,Julie Parsons,2002,Pocket,4.714285714285714
80034,061301328X,Shogun,James Clavell,1999,Sagebrush Bound,0.0
80035,0399131868,O-Zone,Paul Theroux,1986,Putnam Pub Group,0.0
80036,0679745572,The Grass Harp: Including a Tree of Night and Other Stories (First Vintage International),Truman Capote,1993,Vintage Books USA,0.0
80037,0836919602,Music at Night &amp; Other Essays (Essay index reprint series),Aldous Huxley,1977,Ayer Co Pub,0.0
80038,0316290394,Daniel Martin,John Fowles,1997,Back Bay Books,1.25
80039,0521376106,Formal Semantics (Cambridge Textbooks in Linguistics),Ronnie Cann,1993,Cambridge University Press,7.0
80040,007882107X,Internet Golden Directory,Harley,1994,McGraw-Hill Companies,7.0
80041,0613174453,Point Counter Point (British Literature),Aldous Huxley,1999,Sagebrush Education Resources,0.0
80042,8431638737,El Gato Negro y Otros Cuentos de Horror,Edgar Allan Poe,2000,Vicens Vives,2.3333333333333335
80043,0226677141,A Dance to the Music of Time: First Movement (Dance to the Music of Time),Anthony Powell,1995,University of Chicago Press,5.5
80044,0525248862,Little Bits of Baby,Patrick Gale,1990,Penguin USA,1.5
80045,8478885803,El Olor de La Noche,Andrea Camilleri,2003,Salamandra,4.0
80046,8423311104,El doctor InverosÃ­mil (ColecciÃ³n Destinolibro),RamÃ³n GÃ³mez de la Serna,1981,Ediciones Destino,5.0
80047,8474059534,Historia de la Universidad de Sevilla,Francisco Aguilar PiÃ±al,1991,Secretariado de Publicaciones de la Universidad de Sevilla,5.0
80048,0141186682,The Good Apprentice,Iris Murdoch,2001,Penguin Books,7.0
80049,0306807475,Dark Horse: The Life and Art of George Harrison,Geoffrey Giuliano,1997,Da Capo Press,7.0
80050,0072193840,Hacker's Challenge : Test Your Incident Response Skills Using 20 Scenarios,Mike Schiffman,2001,McGraw-Hill Osborne Media,9.0
80051,0140036113,An Accidental Man,Iris Murdoch,1988,Penguin Books,1.6666666666666667
80052,8435001407,Claro De Tierra/Imperial Earth,Arthur C. Clarke,1984,Lectorum Pubns (Adult),0.0
80053,0345323858,Time for the Stars,Robert A. Heinlein,1984,Del Rey Books,9.0
80054,8432205427,Quien Mato a Palomino Molero?/Who Killed Palomino Molero (Biblioteca breve),Mario Vargas Llosa,1995,Planeta Pub Corp,5.0
80055,8437601797,Tres Sombreros De Copa (Letras hispÃ¡nicas),Mihura,2000,Grupo Anaya Comercial,7.0
80056,1853262293,Sir Nigel (Wordsworth Collection),Arthur Conan Doyle,1998,NTC/Contemporary Publishing,2.6666666666666665
80057,9879409159,Tirante (Paradiso Poesia),Susana Cella,2001,Paradiso Paradiso,8.0
80058,0679847596,Ballet Shoes,NOEL STREATFEILD,1993,Random House Books for Young Readers,2.4285714285714284
80059,1857021517,More Bad Housekeeping,Sue Limb,1995,Trafalgar Square,8.0
80060,902343384X,Spookliefde: Een Iers verhaal,Vonne van der Meer,1995,De Bezige Bij,0.0
80061,0140144102,Leader of the Band (King Penguin),Fay Weldon,1990,Penguin USA,2.8
80062,0879519142,The Peculiar Memories of Thomas Penman,Bruce Robinson,1999,Overlook Press,2.0
80063,0670830909,The Cloning of Joanna May,Fay Weldon,1990,Penguin USA,2.25
80064,0140057102,The Valley of Fear (Sherlock Holmes),"Arthur Conan, Sir Doyle",1991,Penguin USA,4.0
80065,1565123107,The Souvenir: A Daughter Discovers Her Father's War,Louise Steinman,2001,Algonquin Books of Chapel Hill,4.5
80066,0704333392,The Making of a Muckraker,Jessica Mitford,0,Quartet Books Ltd,3.5
80067,0375431462,When Character was King,Peggy Noonan,2001,Random House Large Print Publishing,9.0
80068,0679745793,"My Cousin, My Gastroenterologist (Vintage Contemporaries)",Mark Leyner,1993,Vintage Books USA,2.5
80069,3357008416,Kurierdienst Rattenzahn. Die Mega- Stars. ( Ab 10 J.).,Andreas SchlÃ?Â¼ter,1998,Altberliner Verlag,5.0
80070,3251004263,SturzflÃ¼ge: Zweiundzwanzig Anleitungen zum Abheben,Karin Kusterer,1999,Haffmans Verlag,7.333333333333333
80071,141370025X,City at Night,Zachary Weiner,2003,Publishamerica,10.0
80072,0595226108,Union: Strange Stories and Peculiar Poems,Matthew M. House,2002,Writers Club Press,4.0
80073,155783072X,Directing the Action (The Applause Acting Series),Charles Marowitz,1991,Applause Books,0.0
80074,0385291604,Wolf: A False Memoir,Jim Harrison,1989,Delta,2.6666666666666665
80075,2011682312,Le chat noir et autres contes,Edgar Allan Poe,2001,Hachette,0.0
80076,0854098283,Moon Lore,Timothy Harlan,1976,Charles River Media,0.0
80077,0747249598,LOVE ME OR LEAVE ME,Josephine Cox,2001,Trafalgar Square,3.0
80078,0747249407,The Devil You Know,Josephine Cox,2001,Trafalgar Square,1.6666666666666667
80079,0425062570,Tenth Commandment,Lawrence Sanders,1983,Berkley Publishing Group,0.0
80080,3453178777,Mordants Not 01. Der Spiegel ihrer TrÃ?Â¤ume.,Stephen R. Donaldson,2000,Heyne,2.3333333333333335
80081,0152005471,Cantsee: The Cat Who Was the Color of the Carpet,Gretchen Schields,1996,Harcourt,8.0
80082,8434890763,Molly Moon Y El Increible Libro De Hipnotismo / Molly Moon's Incredible Book of Hypnotism,Isabel Gonzalez-Gallarza,2003,S &amp; M Books,8.0
80083,1570426600,The Lion's Game,Nelson DeMille,2000,Time Warner Audio Major,4.5
80084,0316073032,Little Scarlet: An Easy Rawlins Mystery,Walter Mosley,2004,"Little, Brown",6.333333333333333
80085,039920900X,Yeh Shen: A Cinderella Story from China,Ai-Ling Louie,1982,Philomel Books,9.0
80086,0064403777,Staying Nine,Pam Conrad,1988,HarperTrophy,3.5
80087,0385020422,The moon walker,Paul Showers,1975,Doubleday,0.0
80088,0316128546,Wishing at Dawn in Summer,Nancy White Carlstrom,1993,Little Brown &amp; Co,0.0
80089,0374461953,Rain Rain Rivers,Uri Shulevitz,1988,"Farrar, Straus and Giroux (BYR)",0.0
80090,037312029X,"Giordanni'S Proposal (Harlequin Presents, 2029)",Jacqueline Baird,1999,Harlequin,0.0
80091,0373115628,"Outback Man (Harlequin Presents, No. 11562)",Miranda Lee,1993,Harlequin,1.6666666666666667
80092,3442452775,Suppenkueche Inc.,Thomas Klausmann,2002,Goldmann,5.0
80093,344235630X,Und das nennt sich Liebe.,Holly Fox,2003,Goldmann,6.0
80094,1852791683,Your First Fancy Rat (Your First...series),Marianne Mays,0,TFH Publications,6.0
80095,1860541054,RAT,Lorraine Hill,2000,Ringpress Books,7.0
80096,0575075589,Barry Trotter and the Unnecessary Sequel,Michael Gerber,2003,Gollancz,1.7142857142857142
80097,1853686700,"A Garden of Herbal Remedies: Nature's Alchemy &amp; Cures : Tisanes : Balms &amp; Balsams : Lotions &amp; Potions, Etc., Etc. (Gift of Health Series)",W. Craig Dodd,1997,Sterling Pub Co Inc,0.0
80098,0385293925,Family Album,Danielle Steel,1985,Delacorte Press,0.0
80099,0738704229,"Maria Shaw's Star Gazer: Your Soul Searching, Dream Seeking, Make Something Happen Guide to the Future",Maria Shaw,2003,Llewellyn Publications,8.0
80100,0752843370,A Kept Woman,Louise Bagshawe,2001,Orion mass market paperback,3.2
80101,0552527459,Henrietta and the Tooth Fairy,Stan Cullimore,1993,Random House Children's Books (A Division of Random House Group),0.0
80102,0671537261,The HOWLING GHOST (SPOOKSVILLE 2) : THE HOWLING GHOST,Christopher Pike,1995,Aladdin,0.0
80103,0395877520,My Other Life,Paul Theroux,1997,Mariner Books,4.0
80104,0440987024,This School Is Driving Me Crazy,Nat Hentoff,1986,Laurel-Leaf Books,3.5
80105,0553371428,Full Spectrum 4 (Full Spectrum),Lou Aronica,1993,Bantam,4.5
80106,0749932058,Ex-appeal,Zoe Barnes,2001,Piatkus Books,3.888888888888889
80107,069100448X,Private Life in New Kingdom Egypt,Lynn Meskell,2002,Princeton University Press,2.0
80108,0805041575,Laughter and Tears: The Emotional Life of New Mothers,Elisabeth Bing,1997,Owl Books (NY),0.0
80109,1885670362,Natural Treatments for Add and Hyperactivity,Skye Weintraub,1997,Woodland Publishing,2.5
80110,0954759907,Busman's Holiday,Billie Watson,2004,W Watson Publications,8.0
80111,8420646105,El Perseguidor,Julio Cortazar,1996,Alianza,6.6
80112,1853261114,The Swiss Family Robinson (Wordsworth Collection Children's Library),J. R. Wyss,1998,NTC/Contemporary Publishing Company,0.0
80113,0552996963,The Visitation,Sue Reidy,1996,Black Swan,1.0
80114,0752515519,Picasso,Esme Hawes,1996,Parragon Publishing,7.0
80115,1855840537,Enlivening the Chakra of the Heart; The Fundamental Spiritual Exercises of Rudolf Steiner,Florin Lowndes,2000,Rudolf Steiner Press,8.0
80116,088010466X,"Autobiography: Chapters in the Course of My Life, 1861-1907 (Classics in Anthroposophy)",Rudolf Steiner,2000,Steiner Books,0.0
